ref_id,section,bug_description,reported_date,severity,due_date,dev_type,eta,actual,status
QA-069,Phase 04 : Employability Survey ES Parameters,"One Time: 
ES Name field in the step 1: ES Parameter still can filled by the name that already exist",26/07/2022,Moderate,,1,,,PASS
QA-070,Phase 10 : Form Lifecycle Task and Notification,"Continuous: 
There is no due date on the task table for task Validate Employability Survey",26/07/2022,Moderate,,1,,,PASS
QA-071,Phase 10 : Form Lifecycle Task and Notification,Form Filling: when user select option complete the form its not marked the form as done,26/07/2022,Major,,1,,,PASS
QA-072,Phase 10 : Form Lifecycle Task and Notification,"When user click link on the notif ESurvey_N5, it redirect to form but in the form link the user ID still using student id, not final validator id",25/07/2022,Major,,1,,,PASS
QA-073,Phase 09 : Form Lifecycle Routing,"Chain ES: Currently after student completing the first ES and date of sending for 2nd ES is already meet, but the 2nd ES is not sent to the student",27/07/2022,Blocking,,1,0:45,1:45,PASS
QA-074,Phase 02 : Employability Survey Creation,List of Employability Survey table: cannot filter on column template selected. it seems the dropdown list still taking on the list of questionniare tools,27/07/2022,Moderate,,1,0:30,0:30,PASS
QA-075,Phase 10 : Form Lifecycle Task and Notification,"Notification Reminder: Currently The position of the user under signatory displayed as 'null' when the user doesnt have position field filled
If no position, then let it empty
ESNFStudRemind_N1",27/07/2022,Moderate,,1,,,PASS
QA-076,Phase 10 : Form Lifecycle Task and Notification,"Notification Reminder: Link on ESNFStudRemind_N1 must redirect directly to the ES Form, not to student UI",27/07/2022,Major,,1,,,PASS
QA-077,Phase 10 : Form Lifecycle Task and Notification,"Custom notif: if user used key Step Title and the step title having aphostrope on it like (d'études) it displayed as this on the Notification
d&#x27;études",27/07/2022,Major,,1,1:30,1:54,PASS
QA-078,Phase 01 : Form Builder,Key: Currently Key {{form_template_name}} is not populating the form template name but populating the step title,27/07/2022,Moderate,,1,,,PASS
QA-079,Phase 10 : Form Lifecycle Task and Notification,"Key: Need to add key for:
- Civ Acad dir
- Acad dir first name
- Acad dir last name",27/07/2022,Major,,1,1:00,1:12,PASS
QA-080,Phase 10 : Form Lifecycle Task and Notification,"Customer request: No need validation to check Final Step if the template is for ES.
Then when student complete step until Final Message, the status of ES will be automatically validated + Task is marked as Done",27/07/2022,Major,,1,,,PASS
QA-081,Phase 10 : Form Lifecycle Task and Notification,[Back End] Form builder: customer need to have answer type Continous study on the form builder,27/07/2022,Blocking,,1,,,NAB
QA-082,Phase 10 : Form Lifecycle Task and Notification,Key: Key for URL is not in FR in the custom notification. it must be Cliquer ici,27/07/2022,Localization,,1,1:00,1:10,PASS
QA-083,Phase 04 : Employability Survey ES Parameters,"Continuous ES:

Employability survey name is not unique, I can create a a ES template with the name that already exist in List of ES table

Video click here",28/07/2022,Moderate,,1,1:00,1:00,PASS
QA-084,Phase 01 : Form Builder,"As ADMTC Admin, I can make more than one ES with type Continous with same title and class",28/07/2022,Major,,1,,,NAB
QA-085,,"The notification content in EN is different with notif doc for Reminder 10 days. VIdeo link: https://drive.google.com/file/d/1ihc7IcDYbkHlhRqhmbAXtiIN1WRUXx7V/view?usp=sharing
notif doc: https://docs.google.com/document/d/1lMK-0uHygfwHoiB7SJ8gWRz4o7iaUChV9CQT4fdb1c0/edit#bookmark=id.s1oflm3vxe30",28/07/2022,Localization,,1,0:30,0:25,PASS
QA-086,Phase 09 : Form Lifecycle Routing,"Key: Key for URL is not in FR in the Header/Directino. it must be Cliquer ici. But in header it's still Click here
video here",29/07/2022,Minor,,1,0:30,0:29,PASS
QA-087,Phase 04 : Employability Survey ES Parameters,"[Backend] User able to click ""Sent to Student"" Multiple times in continous ES and they will get multiple tasks and notif for the same ES Process",29/07/2022,Major,,1,0:45,0:30,PASS
QA-088,Phase 01 : Form Builder,"[Backend] When the ES Template is already publish and sent to student, the form template that used in the ES Template cannot be unpublished (on the form builder) 

=> Return an error when the mutation to unpublish is called but the template is used for a published form",29/07/2022,Major,,1,0:30,0:30,PASS
QA-089,Phase 01 : Form Builder,Notification  and message is not duplicated in the duplicated template when user duplicate the form template in the form builder,29/07/2022,Major,,1,1:20,1:40,PASS
QA-090,Phase 02 : Employability Survey Creation,"I can't search in the Survey Name and Template Name column without accent, and when I type slice (/) in the Survey Name column, the data in the search field is deleted.",01/08/2022,Moderate,08/11/2022,1,1:30,1:15,PASS
QA-091,Phase 07 : Student Card Employability Survey,"After I reject the step as validator, the ES status and ES status card is Completed by Student not Rejected by Validator.",08/02/2022,Moderate,08/08/2022,1,0:45,1:12,PASS
QA-092,Phase 04 : Employability Survey ES Parameters,"Functionality : In One Time ES, Student receives ES when the send date is still in the future",08/04/2022,Blocking,08/04/2022,1,0:40,0:40,PASS
QA-093,Phase 04 : Employability Survey ES Parameters,"Functionality : [Backend] In One Time ES, Student receives the ES, but in ES Parameter student table, said student still can be excluded. (If student already received ES, they cannot be excluded  anymore)",08/04/2022,Blocking,08/04/2022,1,0:40,0:40,PASS
QA-094,Phase 04 : Employability Survey ES Parameters,"One Time:  Student table in Step 1: ES Parameter, when user click toggle include, remove the sorting (included moved to the upper row of the student table)",08/04/2022,Major,08/04/2022,1,0:30,0:30,PASS
QA-095,Phase 04 : Employability Survey ES Parameters,"One Time: Add Filter for Included column:
- All
- Sent to student 
- Included 
- Excluded

Add Sorting:
- Included
- Not Included
- Sent to Student

based on this spec doc",08/04/2022,Major,08/04/2022,1,0:45,0:45,PASS
QA-096,Phase 02 : Employability Survey Creation,"In the create ES pop up, for RNCP Title field, show RNCP Title that only have student in the dropdown ",08/04/2022,Moderate,08/05/2022,1,0:45,0:45,PASS
QA-097,Phase 05 : Employability Survey ES Result Table,"One time : In the step 2 ES result table, only display student data that Included in the Step 1 ES parameter",08/04/2022,Major,08/04/2022,1,0:45,0:20,PASS
QA-098,Phase 10 : Form Lifecycle Task and Notification,Need to update the Notification ESurvery_N3A. Currently it's following this notif doc where it should be following the notif doc mention in the spec doc,05/08/2022,Major,08/05/2022,1,0:30,0:30,PASS
QA-099,Phase 09 : Form Lifecycle Routing,ADMTC Admin can reject the final step in a form even though the validator is ACADIR,05/08/2022,Moderate,,1,,,NAB
QA-100,Phase 02 : Employability Survey Creation,"In the list of Employability Survey table, In column Status I notice there are no option ""Not sent"" need to include status Not sent in the status filter.

Video here",09/08/2022,Moderate,08/09/2022,1,0:30,0:30,PASS
QA-101,Phase 02 : Employability Survey Creation,"In the student table, for column Final transcript status I notice the sorting is not in order. the correct order should be
- Ascending : Eliminated > Failed > Initial > Passed > Re-take 
- Descending : Re-take > Passed > Initial > Failed > Eliminated
Video here",09/08/2022,Minor,08/10/2022,1,0:45,1:58,PASS
QA-102,Phase 02 : Employability Survey Creation,"column status, column final transcript and column included result sorting data not working properly",09/10/2022,Minor,08/10/2022,1,0:30,1:58,PASS
QA-103,Phase 05 : Employability Survey ES Result Table,"When I check on the student card or school student card, for student with status suspended the ES status is not reflected, it not display any status only blank

Video here",09/08/2022,Moderate,08/10/2022,1,0:45,,NAB
QA-104,Phase 02 : Employability Survey Creation,"[Employability Survey Tabel - Include column] In include colum, when I try to sort status in the column It not sorted correctly 

Video https://www.loom.com/share/e8bc0ea9c63941569b298052164256d4 ",09/08/2022,Moderate,08/10/2022,1,0:45,1:12,PASS
QA-105,Phase 02 : Employability Survey Creation,"[Employability Survey Tabel] Sorting in the template selected column is not working properly

https://drive.google.com/file/d/14jY6fqqKm1xA59bxxT1y184TSPNHoGKx/view?usp=sharing ",09/08/2022,Moderate,08/10/2022,1,0:45,1:44,PASS
QA-106,Phase 10 : Form Lifecycle Task and Notification,"One time ES : future send date (triggered corn manually) I notice the student received task to complete the ES but did not get notification ESurvey_N3A. when check on notif history the ESurvey_N3A is there but in student mailbox there are no notif ESurvey_N3A
Video here, video 2",09/08/2022,Major,08/10/2022,1,0:30,0:20,PASS
QA-107,Phase 10 : Form Lifecycle Task and Notification,"One time ES & Continuous as validator I did not received notification and task to validate the ES (per step and in final step)

Video here",09/08/2022,Major,08/11/2022,1,0:45,0:30,PASS
QA-108,Phase 10 : Form Lifecycle Task and Notification,"One time ES : After validator reject the step, as Student I see the task for complete the ES is counted as completed where it should be still in pending

video here",09/08/2022,Moderate,08/10/2022,1,0:30,1:55,PASS
QA-109,Phase 04 : Employability Survey ES Parameters,Continuous : after set the parameter and click on send ES (ask BE to trigger manually)  after some period of time the ES is still not get send so it block tester to do the testing,10/08/2022,Blocking,08/10/2022,1,0:45,1:45,PASS
QA-110,Phase 02 : Employability Survey Creation,[Employability Survey Tabel] Sorting in the survey name column is not working properly,11/08/2022,Major,08/11/2022,1,0:40,0:18,PASS
QA-111,Phase 03 : Employability Survey Detail,"[Step 2 - Employability Surver Tabel - Status ES 2 and ES 3] Is not updated. The student get the notification in the student mailbox. 
https://www.loom.com/share/62e1da25a61f40daa38ed99755a2eefe ",11/08/2022,Blocking,,1,0:45,0:30,PASS
QA-112,Phase 05 : Employability Survey ES Result Table,"[Employability Survey - Tabel] Arrangment of ES Result tabel is not correct

https://drive.google.com/file/d/1XiUJLSZZKDb8WSENRuk9p2pGxUZaJ2Ds/view?usp=sharing 

https://youtu.be/p9g5thZqxrw ",11/08/2022,Major,08/12/2022,1,1:30,2:17,PASS
QA-113,Phase 10 : Form Lifecycle Task and Notification,"As a validator, I cannot see the notification for validate step in the Employability Survey in the mailbox, I also cannot use 'search bar' in the description column in the Task Tabel",15/08/2022,Major,08/15/2022,1,,,PASS
QA-114,Phase 05 : Employability Survey ES Result Table,"[BE] Need to change for Export sweet alert in Step 2: ES Result, change the export file become CSV and send it to the user via email ",24/08/2022,Blocking,24/08/2022,1,2:30,5:37,PASS
QA-115,Phase 03 - All Students Table,"When I do ascending on student name and registration date column, the order of student name are not alphabetical",04/01/2023,Major,05/01/2022,1,1:00,,Pass
QA-116,Phase 03 - All Students Table,"Error with localization of [EN] Nationnality, in french it should be [FR] Nationalité and not [FR] Natonalité ",04/01/2023,Localization,05/01/2022,1,0:30,,Pass
QA-117,Phase 04 : Creating block specialization in the condition,[Block Competency button][comptency button] button +criteria evaluation inactive,18/11/2022,Moderate,21/11/2022,1,0:45,1:45,PASS
QA-118,Phase 01 : Adding Specialization,"I get Swal warning when save spesialization added, because have spesialization the same but class different",21/11/2022,Blocking,21/11/2022,1,0:30,0:50,PASS
QA-119,Phase 01 : Adding Specialization,[S-RM2C] [Class : ENC NANTES 2023] Still able to remove specialization even already connected to school,23/11/2022,Major,24/11/2022,1,0:45,1:10,PASS
QA-120,Phase 02 : Connecting a specialization,"[Connected RNCP TItle] I get a swal error, that the specialization is already connected. because it has the same specialization but in a different class Video",24/11/2022,Blocking,24/11/2022,1,0:45,1:00,PASS
QA-121,Phase 06 : Job Description based on specialization,[Mailbox] the mentor doesn't get a Jobdesc_N2 notification in the mailbox Video,28/11/2022,Blocking,28/11/2022,1,0:45,0:45,PASS
QA-122,Phase 06 : Job Description based on specialization,[Job Description][PDF Button] pdf document display is cut between pages,28/11/2022,Minor,29/11/2022,1,1:30,1:30,PASS
QA-123,Phase 06 : Job Description based on specialization,[My FIle][Job Description] Student can't download the pdf job description because the student ui only displays a spinner,29/11/2022,Blocking,29/11/2022,1,2:30,1:40,PASS
QA-124,Phase 06 : Job Description based on specialization,[Mentor flow Enable][Task][Pending Task] student has completed the task job description but the task is still in the pending task,29/11/2022,Moderate,29/11/2022,1,0:45,1:00,PASS
QA-125,Phase 06 : Job Description based on specialization,[Mentor flow dissabled] As Academic director in the notification Jobdesc_N4 I see it did not display the HH:MM (Time of upload). Video,29/11/2022,Moderate,30/11/2022,1,0:45,0:50,PASS
QA-126,Phase 06 : Job Description based on specialization,"[Mentor Flow Enabled] When student already complete the job description, I see the task complete job description are still in pending task table

Note : for mentor flow Dissabled, student task will moved to completed. Video",29/11/2022,Major,29/11/2022,1,0:40,1:00,PASS
QA-127,Phase 06 : Job Description based on specialization,"[Mentor Flow Enabled] When student already complete the job description, I see the task validate job description is not created for Mentor and for Academic director

Note : for mentor flow Dissabled, task validate job description for Academic director is created. Video",29/11/2022,Major,29/11/2022,1,0:40,1:00,PASS
QA-128,Phase 06 : Job Description based on specialization,"Student Mrs Lamia ADJAL are exempted from bloc 1 & 2 but in the form filling of job description, bloc 1 & 2 are still included. Video",29/11/2022,Major,30/11/2022,1,0:30,0:20,PASS
QA-129,Phase 06 : Job Description based on specialization,"On the form filling of job description, this student take Specialization IoT but on form filling Specialization from bloc Cloud computing it's displayed. Video",30/11/2022,Major,30/11/2022,1,0:45,0:40,PASS
QA-130,Phase 06 : Job Description based on specialization,[Notification Jobdesc_N3] the text in the mailbox doesn't match the notification doc,1/12/2022,Minor,30/11/2022,1,0:40,0:25,PASS
QA-131,Phase 06 : Job Description based on specialization,[Student card] automatic validation from Mentor and Academic Director for the Job Description,1/12/2022,Moderate,1/12/2022,1,1:00,1:00,PASS
QA-132,Phase 03 : Connecting Specialization to a student,"when select specialization ""None"" in the connected rncp title which one specialization already connect in the student and  the changes were saved successfully. should not saved because specialization already connected in the student  Video",26/12/2022,Major,26/12/2022,1,1:00,0:40,PASS
QA-133,Phase 05 : Creating / publishing / mark entry of the notation grid of block specialization,"When contract already inactive, I changed specialization and I get Swal Specialization_S4. should be I can changed specialization because Contract inactive",27/12/2022,Major,,1,0:40,1:00,PASS
QA-134,Phase 05 : Creating / publishing / mark entry of the notation grid of block specialization,Disconnect specialization and I check task as academic director still display student  which has been disconnected Video,27/12/2022,Major,28/12/2022,1,1:30,2:00,PASS
QA-135,Phase 08 : Pro Eval based on specialization,"on the test creation, I add expected document, but on the step 4 I did not see any tasks displayed, it's should be display the task that will be generated when the test is published.  Video",29/12/2022,Moderate,02/01/2022,1,1:30,1:10,PASS
QA-136,Phase 07 : Auto Eval based on specialization,"number in the test name ""Auto Evaluation Compétences Métiers"" display not accurate",29/12/2022,Minor,,1,1:00,,NAB
QA-137,Phase 05 : Creating / publishing / mark entry of the notation grid of block specialization,I connect specialization cloud computing and I changed specialization become internet of things. I get Swal error (student with contract inactive) Video,29/12/2022,Major,30/12/2022,1,1:00,1:00,PASS
QA-138,Phase 08 : Pro Eval based on specialization,"Issue found on test env

As Mentor, after I fill all the bloc and in step summary & submission I click on button send the  evaluation to the school I see it display SWAL error and it forever spinner

Link to eval pro correction
Video",30/12/2022,Blocking,02/01/2022,1,1:00,1:00,PASS
QA-139,Phase 07 : Auto Eval based on specialization,"[Student UI] Task for ""Marks Entry"" for evaluation type ""Auto Evaluation Compétences Métiers"" is not populated in the student's UI",04/01/2023,Major,05/01/2023,1,1:30,1:30,PASS
QA-140,Phase 08 : Pro Eval based on specialization,"As mentor i can't get the notif EVAL_PRO_N1, even when i check to the student card > company it's already sent to mentor 
video",04/01/2023,Major,05/01/2023,1,1:00,1:20,PASS
QA-141,Phase 09 : Setup Grand Oral session based on specialization,"[Set Up Schedule] Try to download template  to set up session, notice the data student that i get not same with the table 
video",05/01/2023,Moderate,06/01/2023,1,1:00,1:00,NAB
QA-142,Phase 03 : Connecting Specialization to a student,"When i try to remove one the specialization after disconnect the specialization from the school, the swal error is appear with ""Specialization cannot be deleted/removed because it’s connected to a school and/or a student"" text

Video",18/01/2023,Major,19/01/2023,1,0:45,0:45,PASS
QA-143,Phase 03 : Connecting Specialization to a student,"I cannot add ""Evaluation Criteria"" more than 1 competency on block competency . you can use title ""S-MA DECALE FEV 2023""

Video",18/01/2023,Major,19/01/2023,1,0:45,0:45,PASS
